,position,occluder,fruit,occluderSize,status,occluderFile,fruitFile
162,6,occluder1,lemon,medium,experiment,occluder1_medium.png,lemon_6.png
163,6,occluder1,lemon,small,experiment,occluder1_small.png,lemon_6.png
164,6,occluder2,lemon,large,experiment,occluder2_large.png,lemon_6.png
165,6,occluder2,lemon,medium,experiment,occluder2_medium.png,lemon_6.png
166,6,occluder2,lemon,small,experiment,occluder2_small.png,lemon_6.png
167,6,occluder3,lemon,large,experiment,occluder3_large.png,lemon_6.png
168,6,occluder3,lemon,medium,experiment,occluder3_medium.png,lemon_6.png
169,6,occluder3,lemon,small,experiment,occluder3_small.png,lemon_6.png
170,6,occluder0,pear,full,experiment,occluder0_full.png,pear_6.png
171,6,occluder1,pear,large,experiment,occluder1_large.png,pear_6.png
172,6,occluder1,pear,medium,experiment,occluder1_medium.png,pear_6.png
173,6,occluder1,pear,small,experiment,occluder1_small.png,pear_6.png
174,6,occluder2,pear,large,experiment,occluder2_large.png,pear_6.png
175,6,occluder2,pear,medium,experiment,occluder2_medium.png,pear_6.png
176,6,occluder2,pear,small,experiment,occluder2_small.png,pear_6.png
177,6,occluder3,pear,large,experiment,occluder3_large.png,pear_6.png
178,6,occluder3,pear,medium,experiment,occluder3_medium.png,pear_6.png
179,6,occluder3,pear,small,experiment,occluder3_small.png,pear_6.png
